duration,src_bytes,dst_bytes,count,srv_count
2,18380,17221,78,80
2,388,1324,5,10
2,3920,2142,44,21
2,21805,12634,50,32
2,14011,35961,70,73
2,23944,16182,61,44
2,7469,15344,29,24
2,1941,7995,20,17
2,1267,9656,14,15
2,12209,1465,19,8
2,6687,707,11,8
2,16297,2725,29,21
2,20048,20715,53,49
2,6180,26629,31,41
2,14774,39219,55,54
2,15950,4986,25,16
2,132,58,2,1
2,116,116,2,2
2,491,245,7,3
2,160,362,2,5
2,218,288,3,4
2,650,526,9,7
2,116,190,2,3
2,4259,6859,16,18
2,58,116,1,2
2,236,294,3,4
2,163,233,2,3
2,308,318,5,5
2,207,144,3,2
2,160,288,2,4
2,24497,9968,33,27
2,149,205,2,3
2,116,58,2,1
2,21904,8615,35,25
2,186,214,3,3
2,186,364,3,5
2,11254,21595,42,44
2,1759,13701,11,16
2,12092,9185,26,24
2,9474,88137,72,91
2,75855,1763498,759,1344
2,281,276,4,4
2,248,58,4,1
2,272,632,4,4
2,17239,2741,20,13
2,9801,3064,22,17
2,9940,31064,41,56
2,3197,12957,20,22
2,35170,99702,102,111
2,2296,28787,26,37
2,23020,169431,102,143
2,10017,10852,23,26
2,386,2211,5,5
2,6227,1448,9,8
2,116,112,2,2
2,3332,6008,16,18
2,158,289,3,4
2,444,457,5,5
2,116,116,2,2
2,320,402,4,5
2,144,202,2,3
2,328,116,3,2
2,58,58,1,1
2,221,291,3,4
2,351,464,5,6
2,449,362,4,5
2,116,190,2,3
2,58,58,1,1
2,9822,31280,47,58
2,622,1049,8,8
2,9083,15660,27,28
2,191,202,3,3
2,358,218,5,3
2,182,116,3,2
2,737,830,8,5
2,4787,13332,31,28
2,7746,17390,40,38
2,32613,159000,123,167
2,6023,1092,11,8
2,19708,9446,26,26
2,552,412,8,6
2,149,218,2,3
2,116,116,2,2
2,116,58,2,1
2,58,116,1,2
2,116,116,2,2
2,240,58,3,1
2,61218,246034,191,262
2,89036,263450,193,306
2,142990,825905,418,836
2,144883,4466297,750,3652
2,45871,53825,88,87
2,20373,862853,140,705
2,31496,1882077,188,1474
2,23496,14327,43,40
2,18831,957559,109,757
2,58,116,1,2
2,202,194,3,3
2,1284,633,5,7
2,12587,9793,42,37
2,17072,72457,61,105
2,186,244,3,4
2,25036,71451,72,90
2,1512,782,8,9
2,19600,44022,71,87
2,5227,10947,23,31
2,1823,2488,16,14
2,17762,85171,75,121
2,132189,1021431,359,1002
2,17321,62805,85,107
2,22043,43272,57,74
2,30162,237274,101,211
2,37945,976152,183,814
2,1108,465,14,6
2,31590,1016489,149,806
2,1902,609,15,7
2,5469,3420,17,24
2,3873,790,13,7
2,37907,568326,131,493
2,15328,298592,53,250
2,6630,1738,23,9
2,12258,303874,45,251
2,3273,3771,12,12
